name,price,rating,discount
"Russel Hobbs Russell Hobbs Textures Kettle 21271, 1.7 L, 3000 W - Black","18,576",0,0%
WHISTLING STOVE KETTLE,"6,300",0,29%
Russell Hobbs 1.7 Litre Retro Classic Noir Cordless Electric Kettle...,"18,500",0,0%
Universal Flexible Duct Ventilation Hose For S Extractor Fan AC Kitchen Dryer-3m,"39,849",0,50%
Century Electric Kettle - 4.3 Litres,"10,000",4,0%
Portable Electric Hot Water Boiling Kettle -,"7,500",3.9,25%
Universal Flexible Duct Ventilation Hose For S Extractor Fan AC Kitchen Dryer-5m,"56,499",0,50%
Trendy Whistling Kettle," - 10,989",0,0%
Binatone Electric Jug CEJ-3000,"11,950",4.4,25%
Binatone Exotic 1.7-Litre Deluxe Thermo Kettle (High Speed) CEJ-1799DW,"29,999",0,8%
Century Automatic Electric/Anti Rust Kettle,"13,990",4.5,0%
Scanfrost Kettle  1.7Litres - SFKAK1720,"13,571",0,0%
Electric Kettle 5.5L,"7,999",0,0%
?Spin Bio Disc 2 Energizes Water Quantum Scalar Harmonize,"32,318",0,0%
Kinelco Whistling Kettle 5.8ltr,"12,000",4,0%
500W Electric Coffee Stove Burner Hot Plate Kitchen Cooker Tea Heater Portable,"7,700",5,50%
Eurosonic Whistling Kettle 5.0ltr,"12,999",0,0%
Tower Infinity 1.8L Rapid Boil Pyramid Kettle - 3000W,"28,999",0,17%
Quality Electric Stainless Jug,"5,900",0,0%
Morphy Richards 1.7L Illumination Stainless Steel Electric Jug Kettle,"30,500",0,9%
"Russell Hobbs Compact Travel Electric Kettle, Plastic, 1000 W, White","15,000",0,0%
1Pcs Plastic Pitcher Large Capacity Easy To Clean PP Plastic Straining Pitcher For Water-Black,"4,899",0,50%
2.2L Cordless Electric Kettle,"4,800",0,0%
Scarlett ELECTRIC HEAT KETTLE,"6,999",0,0%
"Breville Exotic HotCup Hot Water Dispenser, Fast Boil, 1.5 Litre,","25,000",0,10%
Stainless Steel Whistling Kettle 3Litre.,"4,745",4,0%
"Foldable Electric Kettle,","20,500",0,18%
Gas Cylinder Head Burner,"2,800",3,20%
